gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000099194,12727.00454,2.646775999,0.075554954,1.50E-269,2.75E-265,SCD
ENSG00000115414,40351.35853,-2.992787435,0.099028097,5.87E-202,5.40E-198,FN1
ENSG00000186480,1638.975198,2.820503387,0.097128321,1.32E-186,8.08E-183,INSIG1
ENSG00000067064,2090.371207,2.019867892,0.08098578,1.63E-138,7.51E-135,IDI1
ENSG00000125730,1793.897056,-2.42772889,0.103503358,6.44E-123,2.37E-119,C3
ENSG00000172893,6432.681444,1.59576191,0.072638679,3.78E-108,1.16E-104,DHCR7
ENSG00000117115,18922.31066,1.462796362,0.0681322,2.32E-103,6.10E-100,PADI2
ENSG00000169710,13676.36886,1.537922196,0.072640011,1.14E-100,2.63E-97,FASN
ENSG00000001630,4090.718468,1.573963329,0.075803251,5.88E-97,1.20E-93,CYP51A1
ENSG00000052802,1754.535193,1.84022672,0.091614571,6.04E-91,1.11E-87,MSMO1
ENSG00000112972,6007.538951,2.026074741,0.102579756,4.27E-88,7.14E-85,HMGCS1
ENSG00000079459,3397.889391,1.306332454,0.069797021,2.68E-79,4.11E-76,FDFT1
ENSG00000104549,4237.061489,1.333806137,0.071980149,8.56E-78,1.21E-74,SQLE
ENSG00000160752,6040.611656,1.435654458,0.078641955,1.29E-75,1.69E-72,FDPS
ENSG00000234745,4278.132283,-1.365262377,0.074939991,2.44E-75,2.99E-72,HLA-B
ENSG00000125968,1324.600076,1.836106971,0.101662614,4.42E-74,5.08E-71,ID1
ENSG00000166165,1550.336796,-1.577058628,0.088946425,1.57E-71,1.70E-68,CKB
ENSG00000113161,4213.926334,1.348300913,0.076191334,3.36E-71,3.43E-68,HMGCR
ENSG00000102057,536.8204268,-2.459340382,0.143229505,2.42E-67,2.34E-64,KCND1
ENSG00000120437,3818.188726,1.336983609,0.07961043,1.96E-64,1.80E-61,ACAT2
ENSG00000137414,3370.341361,1.646447864,0.09865228,1.03E-63,9.00E-61,FAM8A1
ENSG00000128567,10024.17304,-1.412404587,0.085275671,8.46E-63,7.07E-60,PODXL
ENSG00000160285,3978.751248,1.2385861,0.07478291,9.55E-63,7.64E-60,LSS
ENSG00000122641,1033.447865,-2.353476147,0.146558806,2.71E-59,2.08E-56,INHBA
ENSG00000125740,3072.145875,1.610636722,0.103669539,1.33E-55,9.77E-53,FOSB
ENSG00000148346,303.5537736,-3.236755741,0.210317505,1.08E-54,7.64E-52,LCN2
ENSG00000108679,672.627246,-1.820082064,0.118702835,2.88E-54,1.96E-51,LGALS3BP
ENSG00000129226,236.443818,-4.299523277,0.281196191,7.02E-54,4.61E-51,CD68
ENSG00000099860,1823.64245,1.284732682,0.084671911,4.01E-53,2.54E-50,GADD45B
ENSG00000110921,651.7010591,1.648495923,0.10969574,3.15E-52,1.93E-49,MVK
ENSG00000130164,1942.230203,1.452889677,0.097215848,1.18E-51,7.00E-49,LDLR
ENSG00000104368,3868.286746,-1.355077164,0.090857723,1.84E-51,1.06E-48,PLAT
ENSG00000149485,4906.990304,0.974423672,0.065422579,3.37E-51,1.88E-48,FADS1
ENSG00000196611,172.1776189,-3.593461327,0.242133797,6.66E-51,3.60E-48,MMP1
ENSG00000196878,4275.525764,-1.190116155,0.08171992,3.65E-49,1.92E-46,LAMB3
ENSG00000142156,2835.261423,-1.108579827,0.076648399,1.65E-48,8.46E-46,COL6A1
ENSG00000072310,2929.836492,1.340470158,0.093117395,4.08E-48,2.03E-45,SREBF1
ENSG00000168528,511.3526382,-1.818638428,0.128521299,1.15E-46,5.58E-44,SERINC2
ENSG00000128016,1536.760431,1.40089404,0.099460751,3.25E-46,1.53E-43,ZFP36
ENSG00000140416,18365.32883,1.13384889,0.080704041,5.59E-46,2.57E-43,TPM1
ENSG00000155090,4141.983003,0.949249509,0.067564177,7.44E-46,3.34E-43,KLF10
ENSG00000105825,6511.808697,-1.022570379,0.07317331,1.40E-45,6.14E-43,TFPI2
ENSG00000205336,198.7660443,-2.894080159,0.207413549,2.04E-45,8.75E-43,ADGRG1
ENSG00000049249,198.1794366,-2.861921849,0.206229929,5.56E-45,2.29E-42,TNFRSF9
ENSG00000164733,13430.04078,-1.111876127,0.080043898,5.60E-45,2.29E-42,CTSB
ENSG00000164211,3034.715179,1.245468908,0.090174526,1.66E-44,6.62E-42,STARD4
ENSG00000150687,12418.28397,1.129432554,0.083380875,7.41E-43,2.90E-40,PRSS23
ENSG00000101665,1052.781122,1.421708985,0.10556223,1.65E-42,6.33E-40,SMAD7
ENSG00000058668,335.8046069,-1.962688341,0.147145027,8.41E-42,3.16E-39,ATP2B4
ENSG00000137309,32964.03894,-0.95270514,0.071794041,2.80E-41,1.03E-38,HMGA1
ENSG00000196754,1620.409155,1.18657342,0.090252244,1.41E-40,5.07E-38,S100A2
ENSG00000167508,3007.752599,1.040058441,0.079394282,2.94E-40,1.04E-37,MVD
ENSG00000156587,968.9279895,-1.261064513,0.09667423,4.97E-40,1.72E-37,UBE2L6
ENSG00000142910,3705.221255,-1.01559653,0.078227334,1.31E-39,4.48E-37,TINAGL1
ENSG00000167779,614.7407003,-1.57284725,0.122401084,5.40E-39,1.81E-36,IGFBP6
ENSG00000124532,4164.680311,1.181333305,0.092377102,1.46E-38,4.79E-36,MRS2
ENSG00000100985,167.0262258,-2.939793641,0.234065797,2.24E-37,7.21E-35,MMP9
ENSG00000166750,359.5053764,-2.496247703,0.199009705,2.27E-37,7.21E-35,SLFN5
ENSG00000070614,7810.240599,0.823950264,0.066290964,2.10E-36,6.55E-34,NDST1
ENSG00000116133,27309.12579,0.965435476,0.078119985,4.21E-36,1.29E-33,DHCR24
ENSG00000140931,8102.050384,1.065226824,0.087118825,1.91E-35,5.77E-33,CMTM3
ENSG00000167772,400.6018416,-2.354884707,0.193894968,3.30E-35,9.78E-33,ANGPTL4
ENSG00000022267,2247.679306,-1.204453219,0.09903247,3.64E-35,1.06E-32,FHL1
ENSG00000134107,11334.50881,1.198264788,0.098739698,5.37E-35,1.54E-32,BHLHE40
ENSG00000177494,284.5719805,2.117661498,0.174730094,5.52E-35,1.56E-32,ZBED2
ENSG00000206503,15336.78648,-0.758510171,0.062837349,1.87E-34,5.22E-32,HLA-A
ENSG00000205542,28640.23076,0.828172664,0.068672176,2.28E-34,6.27E-32,TMSB4X
ENSG00000105696,318.1193038,-2.102404654,0.175395391,2.36E-34,6.39E-32,TMEM59L
ENSG00000154734,4260.763037,0.951708212,0.079146577,2.53E-34,6.73E-32,ADAMTS1
ENSG00000113083,309.8205899,-1.978390862,0.165680981,4.32E-34,1.13E-31,LOX
ENSG00000149557,573.9291049,-1.549151982,0.129866704,5.42E-34,1.40E-31,FEZ1
ENSG00000134324,1300.006958,1.269986336,0.106431388,5.93E-34,1.52E-31,LPIN1
ENSG00000102996,488.1057252,-1.506942305,0.126485284,6.60E-34,1.66E-31,MMP15
ENSG00000142173,5815.372954,-0.824878866,0.069119105,7.33E-34,1.82E-31,COL6A2
ENSG00000091129,162.4787203,-2.805970554,0.235911805,8.05E-34,1.97E-31,NRCAM
